"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Ratings.Source.1","Ratings.Value.1","Ratings.Source.2","Ratings.Value.2","Metascore","imdbRating","imdbVotes","imdbID","Type","DVD","BoxOffice","Production","Website","Response","totalSeasons"
"141","Born in China","2016","G","21 Apr 2017","79 min","Documentary","Chuan Lu","David Fowler, Brian Leith, Phil Chapman, Chuan Lu","John Krasinski, Claire Keim, Xun Zhou","Venturing into the wilds of China, ""Born in China"" captures intimate moments with a panda and her growing cub, a young golden monkey who feels displaced by his baby sister, and a mother snow leopard struggling to raise her two cubs.","English, Chinese","UK, China, USA","N/A","https://m.media-amazon.com/images/M/MV5BMTYyMDE5NDU4NV5BMl5BanBnXkFtZTgwNjQ5MjE4MDI@._V1_SX300.jpg","Internet Movie Database","7.2/10","Rotten Tomatoes","83%","Metacritic","57/100","57","7.2","2,669","tt4629266","movie","N/A","$13,861,159","Disneynature","http://nature.disney.com/born-in-china","True",NA
"142","The Lost City of Z","2016","PG-13","21 Apr 2017","141 min","Adventure, Biography, Drama","James Gray","James Gray (written for the screen by), David Grann (based on the book by)","Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland","A true-life drama, centering on British explorer Col. Percival Fawcett, who disappeared whilst searching for a mysterious city in the Amazon in the 1920s.","English, Portuguese, Tupi, Spanish, German","USA","5 wins & 28 nominations.","https://m.media-amazon.com/images/M/MV5BMjQzNTk3MTkyNF5BMl5BanBnXkFtZTgwMDA2MDQzMTI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","86%","Metacritic","78/100","78","6.6","60,880","tt1212428","movie","11 Jul 2017","$8,554,554","Amazon Studios/Bleecker Street Media","http://www.lostcityofz.com/","True",NA
"143","Norman","2016","R","14 Apr 2017","118 min","Drama, Thriller","Joseph Cedar","Joseph Cedar","Richard Gere, Lior Ashkenazi, Michael Sheen, Steve Buscemi","Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.","English, Hebrew","Israel, USA","1 win & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BNDU2ODc3Njk4OV5BMl5BanBnXkFtZTgwNDM0MjA0MTI@._V1_SX300.jpg","Internet Movie Database","6.2/10","Rotten Tomatoes","89%","Metacritic","75/100","75","6.2","3,744","tt4191702","movie","11 Jul 2017","$3,814,868","Sony Pictures Classics","http://www.normanthemovie.com/","True",NA
"144","Tommy's Honour","2016","PG","14 Apr 2017","112 min","Biography, Drama, Romance","Jason Connery","Pamela Marin, Kevin Cook","Sam Neill, Ophelia Lovibond, Jack Lowden, Peter Mullan","In every generation, a torch passes from father to son. And that timeless dynamic is the beating heart of Tommy's Honour - an intimate, powerfully moving tale of the real-life founders of the modern game of golf.","English","UK, USA","1 win & 2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzA4OTQ4NTc3OF5BMl5BanBnXkFtZTgwMzIwMzY2MDI@._V1_SX300.jpg","Internet Movie Database","6.1/10","Rotten Tomatoes","67%","Metacritic","56/100","56","6.1","540","tt3467914","movie","18 Jul 2017","$561,963","Roadside Attractions","http://www.tommyshonour.com/","True",NA
"145","Little Boxes","2016","N/A","14 Apr 2017","84 min","Comedy, Drama","Rob Meyer","Annie J. Howell","Melanie Lynskey, Nelsan Ellis, Armani Jackson, Oona Laurence","An interracial family struggles to adjust when they move from New York City to a small, predominately white town in Washington State.","English","USA","3 nominations.","https://m.media-amazon.com/images/M/MV5BZWJhOTgzNTktY2RlYS00OGFiLWE5NzItNTYyNjA2YWRkMTBhXkEyXkFqcGdeQXVyNzQ0NDk2NTA@._V1_SX300.jpg","Internet Movie Database","5.9/10","Rotten Tomatoes","68%","Metacritic","53/100","53","5.9","1,113","tt5030402","movie","N/A","N/A","Gunpowder & Sky Distribution","N/A","True",NA
"146","Finding Oscar","2016","N/A","14 Apr 2017","100 min","Documentary, Crime, Drama","Ryan Suffern","Mark Monroe, Ryan Suffern","Kate Doyle, Scott Greathead, Fredy Peccerelli, Sebastian Rotella","FINDING OSCAR is a feature length documentary about the search for justice in the devastating case of the Dos Erres massacre in Guatemala. That search leads to the trail of two little boys ...","English, Spanish","Canada, Guatemala, USA","6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyMzY2MzQ1MV5BMl5BanBnXkFtZTgwMzkyMDk2MTI@._V1_SX300.jpg","Internet Movie Database","7.9/10","Rotten Tomatoes","87%","Metacritic","72/100","72","7.9","30","tt5719232","movie","N/A","$21,246","FilmRise","N/A","True",NA
"147","Chasing Trane: The John Coltrane Documentary","2016","NOT RATED","14 Apr 2017","99 min","Documentary, Biography, Music","John Scheinfeld","John Scheinfeld","Denzel Washington, Reggie Workman, Ravi Coltrane, Ashley Kahn","The film explores the global power and impact of the music of John Coltrane and reveals the passions, experiences and forces that shaped his life and revolutionary sounds.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BYjNjYzg0NjUtMWNmYi00MDY3LTk5ZjMtZWE5ZTQ1MjE5NjAxXkEyXkFqcGdeQXVyMjU4MjYxMg@@._V1_SX300.jpg","Internet Movie Database","7.3/10","Metacritic","69/100",NA,NA,"69","7.3","1,020","tt4287434","movie","N/A","N/A","N/A","N/A","True",NA
"148","All These Sleepless Nights","2016","R","07 Apr 2017","100 min","Documentary, Drama","Michal Marczak","Michal Marczak, Katarzyna Szczerba","Krzysztof Baginski, Michal Huszcza, Eva Lebuef, Natalia Atmanska","A new era is coming, and Warsaw stands uncomfortably at its edge. Art school classmates Christopher and Michal, on the precipice of their own coming of age, restlessly roam their city's ...","Polish","Poland, UK","4 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BMjA0NDg5NTk5MF5BMl5BanBnXkFtZTgwOTcyMTkxMTI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","69%","Metacritic","70/100","70","6.7","1,041","tt5146068","movie","N/A","N/A","Pulse Films","http://www.allthesesleeplessnights.com/","True",NA
"149","The Fate of the Furious","2017","PG-13","14 Apr 2017","136 min","Action, Crime, Thriller","F. Gary Gray","Gary Scott Thompson (based on characters created by), Chris Morgan","Vin Diesel, Jason Statham, Dwayne Johnson, Michelle Rodriguez","When a mysterious woman seduces Dom into the world of terrorism and a betrayal of those closest to him, the crew face trials that will test them as never before.","English, Russian","China, USA, Japan","1 win & 9 nominations.","https://m.media-amazon.com/images/M/MV5BMjMxODI2NDM5Nl5BMl5BanBnXkFtZTgwNjgzOTk1MTI@._V1_SX300.jpg","Internet Movie Database","6.7/10","Rotten Tomatoes","66%","Metacritic","56/100","56","6.7","168,071","tt4630562","movie","11 Jul 2017","$225,697,400","Universal Pictures","N/A","True",NA
"150","Your Name","2015","N/A","04 Jul 2015","22 min","Short","Megumi Shiraishi","N/A","N/A","Ibe Riki and Riko Takeo are preparing for a wedding ceremony.","N/A","Japan","N/A","https://m.media-amazon.com/images/M/MV5BMGY0ZjY4ZGItNmY1Ny00YzAwLWI0Y2EtODQwZTcwMDU0NzgyXkEyXkFqcGdeQXVyMTgwOTE5NDk@._V1_SX300.jpg","Internet Movie Database","8.9/10",NA,NA,NA,NA,"N/A","8.9","221","tt6033368","movie","N/A","N/A","N/A","N/A","True",NA
"151","Speech & Debate","2017","PG-13","07 Apr 2017","105 min","Comedy, Drama","Dan Harris","Stephen Karam (screenplay), Stephen Karam (based on the play by)","Jeremy Rowley, Jerry Leggio, Wendi McLendon-Covey, Roger Bart","Frustrated by the hypocrisy they see in their parents, teachers, and the entire school board, an unlikely trio set out to find a common truth and make their voices heard as they revive a defunct school club and take on the world.","English","USA","N/A","https://ia.media-imdb.com/images/M/MV5BNTdiNDlkNDUtYTlmZS00OWYwLWIwMmItZGZkNzU1ZjUyY2JjXkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","55%","Metacritic","46/100","46","6.0","893","tt4843344","movie","07 Apr 2017","N/A","Sycamore Pictures","N/A","True",NA
"152","Going in Style","2017","PG-13","07 Apr 2017","96 min","Comedy, Crime","Zach Braff","Theodore Melfi (screenplay by), Edward Cannon (based on the story by)","Michael Caine, Alan Arkin, Ann-Margret, Matt Dillon","Desperate to pay the bills and come through for their loved ones, three lifelong pals risk it all by embarking on a daring bid to knock off the very bank that absconded with their money.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMTc5Mzg3NjI4OF5BMl5BanBnXkFtZTgwNzA3Mzg4MDI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","90%","Metacritic","50/100","50","6.6","60,093","tt2568862","movie","30 Mar 2004","N/A","Warner Bros. Pictures","N/A","True",NA
"153","Their Finest","2016","R","07 Apr 2017","117 min","Comedy, Drama, Romance, War","Lone Scherfig","Gaby Chiappe (screenplay by), Lissa Evans (based on the novel ""Their Finest Hour and a Half"" by)","Sam Claflin, Gemma Arterton, Nicholas Murchie, Richard E. Grant","A former secretary, newly appointed as a scriptwriter for propaganda films, joins the cast and crew of a major production while the Blitz rages around them.","English, Hungarian, Polish, French","UK, Sweden","1 win & 6 nominations.","https://m.media-amazon.com/images/M/MV5BNGIwMzIzY2EtZWI1Yi00N2E3LWI0OGMtNmU0MjNmMmNhZmU4XkEyXkFqcGdeQXVyNzY1NzQ2MDk@._V1_SX300.jpg","Internet Movie Database","6.8/10","Rotten Tomatoes","90%","Metacritic","76/100","76","6.8","13,711","tt1661275","movie","11 Jul 2017","$3,595,841","EuropaCorp / STXfilms","N/A","True",NA
"154","Gifted","2017","PG-13","12 Apr 2017","101 min","Drama","Marc Webb","Tom Flynn","Chris Evans, Mckenna Grace, Lindsay Duncan, Octavia Spencer","Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.","English","USA","6 wins & 7 nominations.","https://m.media-amazon.com/images/M/MV5BMjQ2NDU3NDE0M15BMl5BanBnXkFtZTgwMjA3OTg0MDI@._V1_SX300.jpg","Internet Movie Database","7.6/10","Rotten Tomatoes","73%","Metacritic","60/100","60","7.6","73,802","tt4481414","movie","25 Jul 2017","$24,799,765","N/A","N/A","True",NA
"155","The Ticket","2016","NOT RATED","07 Apr 2017","97 min","Drama","Ido Fluk","Ido Fluk (screenplay), Sharon Mashihi (screenplay)","Malin Akerman, Dan Stevens, Kerry Bishé, Ekaterina Samsonov","A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.","English","USA","1 nomination.","https://m.media-amazon.com/images/M/MV5BZDYzYzBhZTYtMTlhNC00NWZkLTg1NTYtODg5OGY0N2FiY2IyXkEyXkFqcGdeQXVyNTg1MzYwMDY@._V1_SX300.jpg","Internet Movie Database","5.3/10","Rotten Tomatoes","50%","Metacritic","52/100","52","5.3","2,162","tt3893280","movie","06 Jun 2017","N/A","Rush River Entertainment","http://theticketthemovie.com/","True",NA
"156","The Assignment","1997","R","26 Sep 1997","115 min","Action, Crime, Thriller","Christian Duguay","Dan Gordon, Sabi H. Shabtai","Aidan Quinn, Donald Sutherland, Ben Kingsley, Claudia Ferri","An American naval officer is recruited for an operation to eliminate his lookalike, the infamous terrorist Carlos The Jackal.","English, French, Spanish","Canada","N/A","https://ia.media-imdb.com/images/M/MV5BNmFjMjExMTktNTRhYS00YmNiLTg2MDItOGFlM2FkMmU1NWMyXkEyXkFqcGdeQXVyMTEzNTk5Nzk@._V1_SX300.jpg","Internet Movie Database","6.9/10","Rotten Tomatoes","60%",NA,NA,"N/A","6.9","7,997","tt0118647","movie","22 May 2001","N/A","Sony Pictures Home Entertainment","N/A","True",NA
"157","Turn It Around: The Story of East Bay Punk","2017","N/A","31 May 2017","155 min","Documentary, History, Music","Corbett Redford","Anthony Marchitiello, Corbett Redford","Billie Joe Armstrong, Iggy Pop, Miranda July, Silas Howard","A documentary spanning over 30 years of the California Bay Area's punk music history with a central focus on the emergence of Berkeley's inspiring 924 Gilman Street music collective.","English","USA","N/A","https://images-na.ssl-images-amazon.com/images/M/MV5BMDljZTNiYzktYjQ5OS00NWE0LWJhOWQtOTgzZTMxYjgwMzAyXkEyXkFqcGdeQXVyMTg3NDk1ODc@._V1_SX300.jpg","Internet Movie Database","8.7/10","Rotten Tomatoes","88%",NA,NA,"N/A","8.7","11","tt3913194","movie","N/A","$53,735","Abramorama","https://eastbaypunk.com/","True",NA
"158","Radio Dreams","2016","N/A","19 May 2017","93 min","Comedy","Babak Jalali","Babak Jalali (script by), Aida Ahadiany, Babak Jalali","Lars Ulrich, Boshra Dastournezhad, Litz Plummer, Larry Laverty","A brilliant and misunderstood Iranian writer struggles to pursue his ambitious goal of bringing together Metallica and Kabul Dreams, Afghanistan's first rock band.","Persian, English, Assyrian Neo-Aramaic, Dari","USA","4 wins & 5 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNThjYjdmOTQtMTkwMi00NTU3LTk5N2QtMTc5MGM5YmExYzExXkEyXkFqcGdeQXVyMzU0NzkwMDg@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","95%","Metacritic","74/100","74","6.0","174","tt3990782","movie","N/A","&pound;18,642","Butimar Productions","N/A","True",NA
"159","The Women's Balcony","2016","N/A","26 May 2017","96 min","Comedy, Drama","Emil Ben-Shimon","Shlomit Nehama","Evelin Hagoel, Igal Naor, Orna Banai, Einat Saruf","A bar mitzvah mishap causes a major rift in a devout Orthodox community in Jerusalem.","Hebrew","Israel","5 nominations.","https://m.media-amazon.com/images/M/MV5BN2Y0NWIyOTUtNjNhZC00ZDYxLWI2NjctN2E2MDkzY2YyOTEyL2ltYWdlXkEyXkFqcGdeQXVyMjQ3NzUxOTM@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","96%","Metacritic","74/100","74","6.6","480","tt5974460","movie","05 Dec 2017","$1,187,629","Menemsha Films","https://www.menemshafilms.com/womens-balcony","True",NA
"160","Long Strange Trip","2017","R","26 May 2017","238 min","Documentary","Amir Bar-Lev","N/A","John Perry Barlow, Tom Constanten, Sam Cutler, Jerry Garcia","A look at the 30-year career of The Grateful Dead.","English","USA","2 wins & 5 nominations.","https://m.media-amazon.com/images/M/MV5BMjAwNTM4ODE1N15BMl5BanBnXkFtZTgwMzk4NjYyMTI@._V1_SX300.jpg","Internet Movie Database","8.2/10","Metacritic","78/100",NA,NA,"78","8.2","854","tt4143508","movie","N/A","N/A","N/A","N/A","True",NA
"161","Berlin Syndrome","2017","R","26 May 2017","116 min","Drama, Horror, Mystery, Thriller","Cate Shortland","Shaun Grant (screenplay), Melanie Joosten (novel), Cate Shortland (additional material)","Teresa Palmer, Max Riemelt, Matthias Habich, Emma Bading","A passionate holiday romance leads to an obsessive relationship, when an Australian photojournalist wakes one morning in a Berlin apartment and is unable to leave.","English, German, Russian","Australia","13 nominations.","https://m.media-amazon.com/images/M/MV5BYzQ0YWRjYjctYmQ5ZC00M2M2LWE0NzMtMTI4ZDg1NjIyZTM1XkEyXkFqcGdeQXVyMTM2MzgyOTU@._V1_SX300.jpg","Internet Movie Database","6.3/10","Rotten Tomatoes","73%","Metacritic","70/100","70","6.3","16,730","tt3335606","movie","27 Jun 2017","$23,300","Vertical Entertainment","N/A","True",NA
"162","Pirates of the Caribbean: Dead Men Tell No Tales","2017","PG-13","26 May 2017","129 min","Action, Adventure, Fantasy","Joachim Rønning, Espen Sandberg","Jeff Nathanson (screenplay by), Jeff Nathanson (story by), Terry Rossio (story by), Ted Elliott (based on characters created by), Terry Rossio (based on characters created by), Stuart Beattie (based on characters created by), Jay Wolpert (based on characters created by)","Johnny Depp, Javier Bardem, Geoffrey Rush, Brenton Thwaites","Captain Jack Sparrow searches for the trident of Poseidon while being pursued by an undead sea captain and his crew.","English, Spanish","USA","9 nominations.","https://m.media-amazon.com/images/M/MV5BMTYyMTcxNzc5M15BMl5BanBnXkFtZTgwOTg2ODE2MTI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","29%","Metacritic","39/100","39","6.6","208,961","tt1790809","movie","03 Oct 2017","$172,537,139","Walt Disney Pictures","http://pirates.disney.com/pirates-of-the-caribbean-dead-men-tell-no-tales","True",NA
"163","War Machine","2017","TV-MA","26 May 2017","122 min","Comedy, Drama, War","David Michôd","Michael Hastings (book), David Michôd (screenplay)","Brad Pitt, Daniel Betts, John Magaro, Emory Cohen","An idiosyncratic general confronts opposition from enemies, allies, and bureaucrats while leading a massive rebuild operation in Afghanistan.","English, Pushto","USA","2 nominations.","https://m.media-amazon.com/images/M/MV5BMTcyMzgwNDE1M15BMl5BanBnXkFtZTgwMDAzMDM0MjI@._V1_SX300.jpg","Internet Movie Database","6.0/10","Rotten Tomatoes","49%","Metacritic","56/100","56","6.0","31,637","tt4758646","movie","26 May 2017","N/A","Netflix","https://www.netflix.com/title/80068327","True",NA
"164","Buena Vista Social Club: Adios","2017","PG","26 May 2017","110 min","Documentary","Lucy Walker","N/A","Ibrahim Ferrer, Omara Portuondo, Eliades Ochoa, Barbarito Torres","Revisit with the remaining original members of the Buena Vista Social Club and explore their contribution to the unknown history of Cuba.","English, Spanish","Cuba, USA","N/A","https://ia.media-imdb.com/images/M/MV5BMjM0ODE5NDc2NF5BMl5BanBnXkFtZTgwODYyNDExMjI@._V1_SX300.jpg","Internet Movie Database","6.6/10","Rotten Tomatoes","70%","Metacritic","67/100","67","6.6","164","tt4653272","movie","12 Sep 2017","&pound;118,253","Broad Green Pictures","N/A","True",NA
"165","Drone","2017","TV-MA","26 May 2017","91 min","Thriller","Jason Bourque","Paul A. Birkett, Jason Bourque, Ian Birkett (story by), Roger Patterson (story by), Paul A. Birkett (story by)","Sean Bean, Patrick Sabongui, Mary McCormack, Maxwell Haynes","Ideologies collide with fatal results when a military drone contractor meets an enigmatic Pakistani businessman.","Urdu, English","Canada","N/A","https://m.media-amazon.com/images/M/MV5BMTkyOTkwNzk4MV5BMl5BanBnXkFtZTgwODg0NzgwMjI@._V1_SX300.jpg","Internet Movie Database","5.3/10","Rotten Tomatoes","27%","Metacritic","49/100","49","5.3","4,824","tt5352846","movie","04 Jul 2017","N/A","N/A","N/A","True",NA
"166","Baywatch","2017","R","25 May 2017","116 min","Action, Comedy, Crime","Seth Gordon","Michael Berk (based on the series ""Baywatch"" created by), Douglas Schwartz (based on the series ""Baywatch"" created by), Gregory J. Bonann (based on the series ""Baywatch"" created by), Jay Scherick (story by), David Ronn (story by), Thomas Lennon (story by), Robert Ben Garant (story by), Damian Shannon (screenplay by), Mark Swift (screenplay by)","Dwayne Johnson, Zac Efron, Priyanka Chopra, Alexandra Daddario","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.","English, Spanish","UK, China, USA","3 wins & 10 nominations.","https://m.media-amazon.com/images/M/MV5BNTA4MjQ0ODQzNF5BMl5BanBnXkFtZTgwNzA5NjYzMjI@._V1_SX300.jpg","Internet Movie Database","5.6/10","Rotten Tomatoes","17%","Metacritic","37/100","37","5.6","117,180","tt1469304","movie","29 Aug 2017","$58,009,442","Paramount Pictures","https://www.facebook.com/BaywatchMovie","True",NA
